ReviewThanked,ProviderName,ReviewerNumReviews,ReviewHelpful,ReviewerAge,ReviewNumPic,ReviewerPoints,ReviewPicture,ReviewerNumHelpful,ReviewerLevelContrib,ProviderLocation,PointsRate,ReviewerName,ReviewURL,DateVisited,ReviewDate,ReviewText,ReviewType,ReviewerPhotos,ReviewerLocationState,ClassType,ReviewerLocationCity,ReviewerGender,ReviewMobile,ReviewerSince,ReviewTitle
0,Chicago South Loop Hotel,1,,NA,0,110,No,,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",5,rikisimp,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r464063027-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,02/01/2017,03/02/17,The staff at Chicago South Loop were very helpful and always excited to offer assistance during our visit. We are from Kentucky so sometimes visiting a large city can be intimidating but we were always helped in a non-judgmental manner. The room was clean and spacious-we stayed in an executive King and very affordable. We were in the vicinity of our entertainment options and we always felt safe. I will definitely refer everyone I know to Chicago South Loop and will definitely keep South Loop in mind when we visit Chicago in the future..,Couples,,Kentucky,Dance,Lexington,NA,No,03/17,Surprise 50th Birthday Weekend Getaway
0,Chicago South Loop Hotel,20,,NA,0,2125,No,5,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",5,PetEmpawrium,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r458407247-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,02/01/2017,02/09/17,"My husband and I travel a lot and visit Chicago 3 to 4 times a year. We have been seeking an affordable, nice hotel downtown with great service. The Chicago South Loop will be our go to hotel! We arrived late and had booked through Hotels.com. After checking in, being assisted by the security gentleman, we arrived to a large, clean room with a fridge, sitting area and huge bathroom! We immediately decided to stay 2 more nights and Diane went above and beyond helping us extend our stay! Nothing beats great service, and the Chicago South Loop staff goes above and beyond!",Couples,4,CO,Dance,Arvada,NA,Yes,03/10,Amazing staff and accommodations!
0,Chicago South Loop Hotel,115,, 35-49 year old female ,0,11675,No,20,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",4,travel4lifeMinnesota,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r452903422-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,01/01/2017,01/17/17,"This hotel would be a solid 3 1/2 star hotel PROS: very clean, very spacious room, reasonable price with a Groupon rate, free parking, fridge in room and small coffee maker. Dish network with a good variety of channels. Free internet and business center. Fresh and clean smelling lobby with a great staff. Bed and linens were comfortable, but average. CONS: about 1 1/2 miles from downtown. We had to take an uber numerous times over the weekend since we arrived by train. Few amenities in the room. And just the basic towels you would need. Room had older style of heating which we had to be adjusting to find a good temperature. We did not visit the small cafe, bar and lounge, fitness center or salon. Overall, it was clean and comfortable. Wonderful staff and reasonably priced but I would prefer to be closer to the city. This hotel was closer to the Mc Cormick center.",Couples,1,NA,Dance,minnesota,F,Yes,02/09,Nice weekend in Chicago
1,Chicago South Loop Hotel,1,1,NA,0,101,No,1,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",4,lkyoder104,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r449720003-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,11/01/2016,01/05/17,"We visited for a weekend away. Even though the hotel was under obvious renovations in the lobby and fitness areas it was still very nice. There was no charge for parking, which is few and far between. The staff was all very nice and helpful. They helped us decide transportation to the Bears game. There is a deposit that you get back upon leaving with no damage to the room. Would definitely stay again!",Couples,,Ohio,Dance,Hicksville,NA,Yes,01/17,Very nice stay
0,Chicago South Loop Hotel,4,, 35-49 year old female ,0,462,No,2,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",4,Lorraine P,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r449423313-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,09/01/2016,01/04/17,"Hotel was good, price and parking were great, but needed to take transportation into the city. Hotel is next to the bus stop, but must walk a few blocks to get to train station. If you are out past 9:00 pm, the staff would recommend an uber or taxi rather than walking around the area near the hotel at night. Train stop is in Chinatown.",Couples,,Ohio,Dance,Cincinnati,F,No,09/14,"Good hotel, but must take transportation into city."
0,Chicago South Loop Hotel,388,,Male ,0,43070,No,345,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",5,Hans P,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r459281409-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,12/01/2016,02/13/17,"Unfortunately, my Amtrak Arrived Chicago Union Station five minutes after my next train had departed. Fortunately Amtrak had voucher's for Chicago South Loop Hotel. Awesome friendly staff. Clean hotel lobby and hallway's. Once in the room I noticed again cleanliness, tub, sinks, refrigerator, and floors. The Serta/Seally mattress-top cover/duvet absolutely made my night's sleep at Chicago's South Loop Hotel, the best hotel room sleep I can remember enjoying. Totally will stay here next time I'm in Chicago.",Solo,94,Oklahoma,Dance,Tulsa,M,No,06/13,"WOW Very Comfortable Mattress, Sheets, And Pillows. Very Deep Tub Too."
0,Chicago South Loop Hotel,2,,NA,0,200,No,,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",5,Ku-San T,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r457708950-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,02/01/2017,02/06/17,The hotel staff was nice and helpful. The rooms are updated and spacious. Everything was clean. The lobby was peaceful and quiet. Parking lot was easily accessible and security was on the premises. Very modern and up to date.,Solo,,NA,Dance,Chicago,NA,No,11/15,Excellent Stay and Great Price
1,Chicago South Loop Hotel,26,1, 65+ year old male ,0,2622,No,17,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",5,Mayburrito,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r456314100-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,01/01/2017,01/31/17,"Amtrak put me up here overnight when the California Zephyr was nine hours late and I missed my connecting train. Nice, clean hotel with free wifi and comfy bed. Very nice front desk personnel gave me late checkout time. The only negative is the fitness room had two spinner bikes but no regular or recumbent exercise bikes.",Solo,,California,Dance,Moss Beach,M,No,02/13,CHICAGO REST STOP
1,Chicago South Loop Hotel,25,1,NA,0,2775,No,10,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",3,southaussie05,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r449396941-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,10/01/2016,01/04/17,"hotel was very poor facilities and what there were, didn't actually belong to the hotel. The room was large and had been renovated. however the hotel is very isolated in a poor area. there were a small coffee shop and a sports bar serving bar meals, neither [art of the hotel, the restaurant was only open one day in the week I was there and was poor. I would not recommend it for a tourist.",Solo,,Australia,Dance,Melbourne,NA,No,11/07,needs updating
1,Chicago South Loop Hotel,4,1,NA,0,422,No,2,0,"11 West 26th Street , South State Street and W 26th St , Chicago , IL 60616-5093 11 West 26th Street , South State Street and W 26th St , Chicago, IL 60616-5093",2,anirudhborkar,https://www.tripadvisor.com//ShowUserReviews-g35805-d1075753-r427835453-Chicago_South_Loop_Hotel-Chicago_Illinois.html#CHECK_RATES_CONT,10/01/2016,10/14/16,"I booked this hotel on Priceline a few months ahead of the October Chicago marathon and thought I was getting a 3 star stay. The hotel itself isn't bad but located in a dicey location- blight all around. Chinatown is 2 blocks away and overall food options aren't bad outside the hotel. The options inside are quite mediocre. The worst part, imo is that the Metra runs about 20 meters from the rooms facing the front of the hotel..approximately 45 percent of the rooms..so that killed my attempts to catch decent sleep before the race. The staff isn't great but can't complain there..it's consistent with the rest of the place. Overall, I'd caution against going here unless you have some idea of Chicago's layout. This borders the south side which makes it avoidable. On the plus side, it's close to McCormick Place convention center and all the major highways.",Solo,,New Jersey,Dance,Summit,NA,Yes,09/07,Fool's gold
